Amount,MCC,Is Fraud?,Hours,Use_Chip_Chip Transaction,Use_Chip_Online Transaction,Use_Chip_Swipe Transaction
287.13,3001,1,12,0,1,0
2.41,5651,1,13,0,1,0
50.81,4411,1,9,0,1,0
248.36,5732,1,9,0,1,0
473.0,3640,1,11,0,1,0
144.49,3007,1,11,0,1,0
44.57,5300,1,13,0,1,0
64.93,7996,1,14,0,1,0
124.59,5311,1,15,0,1,0
97.34,7922,1,15,0,1,0
17.86,5311,1,16,0,1,0
162.11,3640,1,7,0,1,0
-473.0,3640,1,7,0,1,0
81.93,4121,1,11,1,0,0
297.86,5311,1,12,0,1,0
11.04,5300,1,9,0,0,1
68.86,5311,1,11,0,0,1
96.19,5311,1,15,0,0,1
298.0,3722,1,15,0,0,1
3.72,5300,1,7,0,0,1
75.41,5310,1,7,0,0,1
245.41,5816,1,8,0,0,1
196.1,5411,1,8,0,0,1
29.53,3722,1,9,0,0,1
-298.0,3722,1,9,0,0,1
244.23,5310,1,10,0,1,0
22.4,5300,1,14,0,0,1
181.74,5310,1,10,0,1,0
3.28,5211,1,14,1,0,0
143.95,5732,1,18,0,1,0
488.0,3684,1,14,1,0,0
14.22,5311,1,14,1,0,0
13.79,4214,1,14,1,0,0
12.27,5812,1,15,1,0,0
38.63,5921,1,13,1,0,0
55.58,5411,1,13,1,0,0
63.38,3389,1,18,1,0,0
130.19,5311,1,14,1,0,0
38.36,5311,1,14,1,0,0
49.31,5932,1,12,1,0,0
61.14,5411,1,7,0,0,1
262.17,3640,1,12,0,0,1
134.0,3640,1,12,0,0,1
77.96,3256,1,8,0,1,0
3750.6,4411,1,8,0,1,0
239.46,5719,1,10,0,1,0
142.59,5310,1,12,0,0,1
47.19,5912,1,14,0,1,0
0.56,5310,1,15,0,1,0
69.58,5311,1,6,0,1,0
43.79,5814,1,6,0,1,0
147.63,5311,1,7,0,1,0
157.78,5719,1,8,0,1,0
169.56,5094,1,12,0,1,0
10.62,5651,1,12,0,1,0
384.49,3005,1,8,0,1,0
7.78,5912,1,11,0,1,0
219.72,5193,1,12,0,1,0
23.97,5814,1,12,0,1,0
10.34,5300,1,13,0,1,0
138.95,5094,1,8,0,0,1
44.95,5651,1,12,0,0,1
28.53,5310,1,12,0,0,1
37.77,5921,1,16,0,0,1
8.84,5932,1,11,0,0,1
874.49,5311,1,11,0,0,1
2.05,7210,1,14,0,0,1
6.13,4214,1,14,0,0,1
6.04,5411,1,16,0,0,1
85.14,5621,1,16,0,0,1
33.4,5045,1,17,0,0,1
8.48,5541,1,17,0,0,1
85.0,5541,1,17,0,0,1
-85.0,5541,1,17,0,0,1
22.42,5311,1,18,0,0,1
327.87,5712,1,12,0,0,1
24.96,5311,1,15,0,0,1
7.47,5411,1,15,0,0,1
18.92,4121,1,17,0,0,1
5.77,5541,1,14,0,0,1
5.31,5970,1,14,0,0,1
193.2,5045,1,12,0,0,1
8.71,5311,1,18,0,0,1
